order_id,customer_id,order_accept_date,total_amount
79339111,C26387220,2022-04-01 11:00:00,4144
18941733,C48773811,2022-04-01 11:00:00,2877
56217880,C24617924,2022-04-01 11:00:00,2603
28447783,C26387220,2022-04-01 11:00:00,2732
32576156,C54568117,2022-04-01 11:00:00,2987
75629806,C38583902,2022-04-30 21:57:57,3050
91002809,C48773811,2022-04-30 21:57:57,4692
3021273,C24617924,2022-04-30 21:57:57,2388
82302078,C26387220,2022-04-30 21:57:57,2603
97601615,C54568117,2022-04-30 21:57:57,1899
87676506,C54568117,2022-04-30 21:57:57,4692
65713874,C48773811,2022-04-30 21:57:57,2112
80343997,C27698225,2022-04-30 21:57:57,2064
1798443,C26387220,2022-04-30 21:58:58,2363
96208608,C48773811,2022-04-30 21:58:58,3050
5060741,C24617924,2022-04-30 21:58:58,4133
70509759,C24617924,2022-04-30 21:58:58,3530
89047729,C26387220,2022-04-30 21:58:58,2677
25546308,C24617924,2022-04-30 21:58:58,2615
91693481,C48773811,2022-04-30 21:58:58,2732
57908119,C26387220,2022-04-30 21:58:58,2363
7145625,C48773811,2022-04-30 21:58:58,2238
31301192,C48773811,2022-04-30 21:58:58,1900
