time_stamp,sensor_3,sensor_4
2020/12/17 19:41:05.519,0,-1201
2020/12/17 19:41:05.703,0,-1536
2020/12/17 19:41:05.905,0,-1624
2020/12/17 19:41:05.098,0,-1638
2020/12/17 19:41:06.307,0,-1641
2020/12/17 19:41:06.490,0,-1641
2020/12/17 19:41:06.686,0,-1641
2020/12/17 19:41:06.923,0,-1641
2020/12/17 19:41:07.138,0,-1641
2020/12/17 19:41:07.329,0,-1640
2020/12/17 19:41:07.497,0,-1640
2020/12/17 19:41:07.703,0,-1640
2020/12/17 19:41:07.898,0,-1641
2020/12/17 19:41:07.090,0,-1640
2020/12/17 19:41:08.312,0,-1641
2020/12/17 19:41:08.520,0,-1641
2020/12/17 19:41:08.722,0,-1640
2020/12/17 19:41:08.903,0,-1640
2020/12/17 19:41:08.094,0,-1640
2020/12/17 19:41:09.298,0,-1641
2020/12/17 19:41:09.505,0,-1641
2020/12/17 19:41:09.719,0,-1641
2020/12/17 19:41:09.927,0,-1680
2020/12/17 19:41:10.108,0,-1939
2020/12/17 19:41:10.309,0,-2097
2020/12/17 19:41:10.502,0,-2119
2020/12/17 19:41:10.692,0,-2121
2020/12/17 19:41:10.899,0,-2121
2020/12/17 19:41:10.094,0,-2120
2020/12/17 19:41:11.320,0,-2121
2020/12/17 19:41:11.513,0,-2120
2020/12/17 19:41:11.699,0,-2120
2020/12/17 19:41:11.898,0,-2123
2020/12/17 19:41:12.103,0,-2120
2020/12/17 19:41:12.299,0,-2123
2020/12/17 19:41:12.519,0,-2123
2020/12/17 19:41:12.721,0,-2120
2020/12/17 19:41:12.892,0,-2120
2020/12/17 19:41:12.102,0,-2120
2020/12/17 19:41:13.296,0,-2123
2020/12/17 19:41:13.502,0,-2123
2020/12/17 19:41:13.700,0,-2120
2020/12/17 19:41:13.900,0,-2120
2020/12/17 19:41:14.110,0,-2120
2020/12/17 19:41:14.300,0,-2123
2020/12/17 19:41:14.496,0,-2123
2020/12/17 19:41:14.700,0,-2123
2020/12/17 19:41:14.889,0,-2120
2020/12/17 19:41:14.108,0,-2120
2020/12/17 19:41:15.299,0,-2120
2020/12/17 19:41:15.515,0,-2120
2020/12/17 19:41:15.722,0,-2122
2020/12/17 19:41:15.935,0,-2120
2020/12/17 19:41:16.166,0,-2123
2020/12/17 19:41:16.385,0,-2120
2020/12/17 19:41:16.552,0,-2120
2020/12/17 19:41:16.736,0,-2123
2020/12/17 19:41:16.915,0,-2123
2020/12/17 19:41:17.134,0,-2123
2020/12/17 19:41:17.319,0,-2120
2020/12/17 19:41:17.521,0,-2123
2020/12/17 19:41:17.714,0,-2123
2020/12/17 19:41:17.907,0,-2123
2020/12/17 19:41:17.097,0,-2122
2020/12/17 19:41:18.302,0,-2123
2020/12/17 19:41:18.512,0,-2120
2020/12/17 19:41:18.685,0,-2123
2020/12/17 19:41:18.894,0,-2123
2020/12/17 19:41:18.106,0,-2120
2020/12/17 19:41:19.325,0,-2123
2020/12/17 19:41:19.525,0,-2123
2020/12/17 19:41:19.720,0,-2120
2020/12/17 19:41:19.921,0,-2123
2020/12/17 19:41:19.098,0,-2123
2020/12/17 19:41:20.300,0,-2120
2020/12/17 19:41:20.501,0,-2120
2020/12/17 19:41:20.721,0,-2123
2020/12/17 19:41:20.922,0,-2122
2020/12/17 19:41:21.120,0,-2123
2020/12/17 19:41:21.302,0,-2123
2020/12/17 19:41:21.494,0,-2120
2020/12/17 19:41:21.680,0,-2123
2020/12/17 19:41:21.903,0,-2123
2020/12/17 19:41:21.095,0,-2123
2020/12/17 19:41:22.285,0,-2120
2020/12/17 19:41:22.515,0,-2123
2020/12/17 19:41:22.718,0,-2122
2020/12/17 19:41:22.943,0,-2123
2020/12/17 19:41:23.156,0,-2120
2020/12/17 19:41:23.337,0,-2123
2020/12/17 19:41:23.514,0,-2120
